id;escenario;origen_dato;arquetipo;sector;coste_elegible_eur;ayuda_solicitada_eur;ahorro_kwh_ano;categoria_innovacion;bonus_socioeconomico
SIM-CEN-0001;CENTRAL;SINTETICO_PRELIMINAR;cooperativa agropecuaria - camaras modulares R-290;agropecuario;725000;184000;2600000;incremental;si
SIM-CEN-0002;CENTRAL;SINTETICO_PRELIMINAR;bodega - refrigeracion eficiente de proceso;industrial;255000;28000;601000;incremental;si
SIM-CEN-0003;CENTRAL;SINTETICO_PRELIMINAR;distribucion alimentaria - central CO2 transcritica;terciario;900000;281000;818000;incremental;no
SIM-CEN-0004;CENTRAL;SINTETICO_PRELIMINAR;distribucion alimentaria - central CO2 transcritica;terciario;740000;218000;849000;incremental;no
SIM-CEN-0005;CENTRAL;SINTETICO_PRELIMINAR;central hortofruticola - preenfriamiento eficiente;agropecuario;695000;181000;630000;baja;no
SIM-CEN-0006;CENTRAL;SINTETICO_PRELIMINAR;bodega - refrigeracion eficiente de proceso;industrial;340000;37000;715000;incremental;si
SIM-CEN-0007;CENTRAL;SINTETICO_PRELIMINAR;gran industria agroalimentaria - reconversion NH3;industrial;1645000;500000;2177000;intermedia;no
SIM-CEN-0008;CENTRAL;SINTETICO_PRELIMINAR;hospital publico - enfriadoras con refrigerante natural;terciario;2190000;504000;2307000;baja;no
SIM-CEN-0009;CENTRAL;SINTETICO_PRELIMINAR;logistica de temperatura controlada - recuperacion energetica;terciario;1660000;422000;1424000;incremental;no
SIM-CEN-0010;CENTRAL;SINTETICO_PRELIMINAR;supermercado mediano - sustitucion de central frigorifica;terciario;715000;157000;916000;intermedia;no
SIM-CEN-0011;CENTRAL;SINTETICO_PRELIMINAR;hospital publico - enfriadoras con refrigerante natural;terciario;2320000;738000;1934000;intermedia;no
SIM-CEN-0012;CENTRAL;SINTETICO_PRELIMINAR;planta de procesado alimentario - CO2 subcritico;industrial;610000;143000;874000;incremental;no
SIM-CEN-0013;CENTRAL;SINTETICO_PRELIMINAR;distribucion alimentaria - central CO2 transcritica;terciario;610000;154000;644000;baja;no
SIM-CEN-0014;CENTRAL;SINTETICO_PRELIMINAR;planta de procesado alimentario - CO2 subcritico;industrial;1440000;394000;1261000;baja;no
SIM-CEN-0015;CENTRAL;SINTETICO_PRELIMINAR;cooperativa agropecuaria - camaras modulares R-290;agropecuario;330000;97000;457000;incremental;si
SIM-CEN-0016;CENTRAL;SINTETICO_PRELIMINAR;planta de procesado alimentario - CO2 subcritico;industrial;720000;192000;889000;incremental;no
SIM-CEN-0017;CENTRAL;SINTETICO_PRELIMINAR;camaras frigorificas industriales - variadores y control;industrial;1105000;243000;1476000;incremental;no
SIM-CEN-0018;CENTRAL;SINTETICO_PRELIMINAR;bodega - refrigeracion eficiente de proceso;industrial;325000;62000;948000;incremental;no
SIM-CEN-0019;CENTRAL;SINTETICO_PRELIMINAR;planta de procesado alimentario - CO2 subcritico;industrial;1805000;555000;2600000;baja;no
SIM-CEN-0020;CENTRAL;SINTETICO_PRELIMINAR;planta de procesado alimentario - CO2 subcritico;industrial;740000;197000;1168000;incremental;si
SIM-CEN-0021;CENTRAL;SINTETICO_PRELIMINAR;cooperativa agropecuaria - camaras modulares R-290;agropecuario;565000;111000;978000;intermedia;no
SIM-CEN-0022;CENTRAL;SINTETICO_PRELIMINAR;central hortofruticola - preenfriamiento eficiente;agropecuario;275000;78000;622000;incremental;no
